Device: cuda
Vocabulary size: 125 | PAD index: 0
Training data: 1754281 sequences x 100 steps
Trainable parameters: 21636221
Batch size: 128 | batches per epoch: 13705 | epochs: 15
  epoch 2/15 | batch 4600/13705 | loss 0.3807 | avg 0.4068
  epoch 2/15 | batch 4700/13705 | loss 0.3911 | avg 0.4067
  epoch 2/15 | batch 4800/13705 | loss 0.4040 | avg 0.4066
  epoch 2/15 | batch 4900/13705 | loss 0.3986 | avg 0.4065
  epoch 2/15 | batch 5000/13705 | loss 0.4000 | avg 0.4063
  epoch 2/15 | batch 5100/13705 | loss 0.4042 | avg 0.4062
  epoch 2/15 | batch 5200/13705 | loss 0.4101 | avg 0.4061
  epoch 2/15 | batch 5300/13705 | loss 0.4068 | avg 0.4059
  epoch 2/15 | batch 5400/13705 | loss 0.3931 | avg 0.4058
  epoch 2/15 | batch 5500/13705 | loss 0.3928 | avg 0.4057
  epoch 2/15 | batch 5600/13705 | loss 0.4018 | avg 0.4056
  epoch 2/15 | batch 5700/13705 | loss 0.3890 | avg 0.4055
  epoch 2/15 | batch 5800/13705 | loss 0.3985 | avg 0.4054
  epoch 2/15 | batch 5900/13705 | loss 0.3947 | avg 0.4053
  epoch 2/15 | batch 6000/13705 | loss 0.3911 | avg 0.4052
  epoch 2/15 | batch 6100/13705 | loss 0.3833 | avg 0.4051
  epoch 2/15 | batch 6200/13705 | loss 0.3983 | avg 0.4050
  epoch 2/15 | batch 6300/13705 | loss 0.3908 | avg 0.4048
  epoch 2/15 | batch 6400/13705 | loss 0.3699 | avg 0.4047
  epoch 2/15 | batch 6500/13705 | loss 0.4057 | avg 0.4046
  epoch 2/15 | batch 6600/13705 | loss 0.3970 | avg 0.4045
  epoch 2/15 | batch 6700/13705 | loss 0.4064 | avg 0.4044
  epoch 2/15 | batch 6800/13705 | loss 0.3998 | avg 0.4043
  epoch 2/15 | batch 6900/13705 | loss 0.3978 | avg 0.4042
  epoch 2/15 | batch 7000/13705 | loss 0.4043 | avg 0.4041
  epoch 2/15 | batch 7100/13705 | loss 0.3900 | avg 0.4040
  epoch 2/15 | batch 7200/13705 | loss 0.4028 | avg 0.4039
  epoch 2/15 | batch 7300/13705 | loss 0.3893 | avg 0.4038
  epoch 2/15 | batch 7400/13705 | loss 0.3872 | avg 0.4037
  epoch 2/15 | batch 7500/13705 | loss 0.3904 | avg 0.4036
  epoch 2/15 | batch 7600/13705 | loss 0.4087 | avg 0.4035
